P0 id;Nivel_PowerBI;Nivel_Qlik;Nivel_Tableau;Nivel_Metabase;Nivel_Looker;Nivel_Looker_Studio;Nivel_Amazon_Quicksight;Nivel_Alteryx;Nivel_Grafana;Nivel_Pentaho;Nivel_Excel;Domina_PowerBI;Domina_Qlik;Domina_Tableau;Domina_Metabase;Domina_Looker;Domina_Looker_Studio;Domina_Amazon_Quicksight;Domina_Alteryx;Domina_Grafana;Domina_Pentaho;Domina_Excel;UF;Idade
0oggobdknd16s8sog3ln4ic0oggobmt1;0,0;0,0;1,0;0,5;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0;0;1;0;0;0;0;0;0;0;0;SP;25-29
0ojds5de5ah8vwrpmklt0ojds5dz95kx;0,5;0,0;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;SP;25-29
0on1x4pk2etlhgwbdf0on1x4pb0vfe3a;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;17-21
0onjh42eak1akktm7coy0onjho00ittt;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;MG;25-29
0ovocc0chi8jo3q0ovocvj6qmljwtloh;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;SP;40-44
0owmod4o9zby3ho0owkck31v0w2q45bc;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;SC;45-49
0p2u2nceqzym6fssl92n180p2u2n4uss;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;SP;30-34
0pg37xsvnaoyqvibr0pg378z2eg4lpcz;0,0;0,0;0,0;0,5;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;SP;25-29
0piaidcw03f691i4cdc0piaid7bp0tpd;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;MG;25-29
0porhlvirmnbqihbq0f0porhli93zl7v;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;1;0;0;0;0;0;0;0;0;0;0;SC;25-29
0q472yy1a4ua38hg0q42byo044ngq1sb;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;PR;25-29
0qhsqn12j7yapjr3ny0qhsqnfkqqygsm;1,0;0,0;0,5;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;22-24
0qio4frn8vyn5lyoev0qio4uhal1fitk;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;30-34
